type;month;y_i0;y_i1;y_i2;y_i3;y_i4;y_i5;y_i6;y_i7;y_i8;y_i9;y_i10;y_i11;y_i12;y_i13;y_i14;y_i15;y_i16;y_i17;y_i18;y_i19;y_i20;y_i21;y_i22;y_i23;y_i24;y_i25;y_i26;y_i27;y_i28;y_i29;y_i30;y_i31;y_i32;y_i33;y_i34;y_i35;y_i36;y_i37;y_i38;y_i39;y_i40;y_i41;y_i42;y_i43;y_i44;y_i45;y_i46;y_i47;y_i48;y_i49;y_i50;y_i51;y_i52;y_i53;y_i54;y_i55;y_i56;y_i57;y_i58;y_i59;y_i60;y_i61;y_i62;y_i63;y_i64;y_i65;y_i66;y_i67;y_i68;y_i69;y_i70;y_i71
dom;1;0.000990005;0.000834424;0.000750261;0.000712136;0.000707596;0.000765709;0.000950109;0.001298136;0.001478319;0.001515649;0.001493918;0.001493942;0.001543556;0.001555553;0.001546215;0.001511979;0.001536709;0.001740721;0.001933607;0.001968646;0.001968298;0.0018447;0.001595171;0.001223664;0.000990005;0.000834424;0.000750261;0.000712136;0.000707596;0.000765709;0.000950109;0.001298136;0.001388778;0.001423847;0.001403432;0.001403455;0.001450065;0.001461335;0.001452563;0.0014204;0.001443632;0.001635288;0.00181649;0.001968646;0.001968298;0.0018447;0.001595171;0.001223664;0.000990005;0.000834424;0.000750261;0.000712136;0.000707596;0.000765709;0.000950109;0.001222619;0.001307987;0.001341016;0.001321789;0.001321811;0.001365709;0.001376323;0.001368062;0.00133777;0.00135965;0.001540156;0.001710817;0.001854121;0.001853794;0.001737386;0.001502373;0.001223664
dom;2;0.001231819;0.001036778;0.000933073;0.000888323;0.000886454;0.000966994;0.001210949;0.001397287;0.001536887;0.001558227;0.001522165;0.001520785;0.001573745;0.001582302;0.001566442;0.001517312;0.001506138;0.001653137;0.00196286;0.00211137;0.002103807;0.001958686;0.001687463;0.001531976;0.001231819;0.001036778;0.000933073;0.000888323;0.000886454;0.000966994;0.001210949;0.001397287;0.001488438;0.001509105;0.001474179;0.001472844;0.001524134;0.00153242;0.001517061;0.001469479;0.001458658;0.001601023;0.001900982;0.00211137;0.002103807;0.001958686;0.001687463;0.001531976;0.001231819;0.001036778;0.000933073;0.000888323;0.000886454;0.000966994;0.001210949;0.001556627;0.001658172;0.001681196;0.001642287;0.001640799;0.001697938;0.001707169;0.001690058;0.001637051;0.001624996;0.001783595;0.002117759;0.002352139;0.002343713;0.002182044;0.001879892;0.001531976
dom;3;0.001096647;0.000915792;0.000790998;0.000777555;0.000769941;0.000821271;0.000962719;0.001040707;0.001283465;0.001408167;0.001470424;0.001525666;0.001590782;0.00155918;0.001504985;0.001438743;0.001424494;0.00151852;0.001797312;0.00195041;0.001893357;0.001722521;0.001466757;0.001362665;0.001096647;0.000915792;0.000790998;0.000777555;0.000769941;0.000821271;0.000962719;0.001040707;0.001204262;0.001321269;0.001379684;0.001431517;0.001492615;0.001462962;0.001412113;0.001349958;0.001336588;0.001424812;0.001686399;0.00195041;0.001893357;0.001722521;0.001466757;0.001362665;0.001096647;0.000915792;0.000790998;0.000777555;0.000769941;0.000821271;0.000962719;0.001187162;0.001373734;0.001507207;0.001573843;0.00163297;0.001702666;0.001668841;0.001610835;0.001539933;0.001524682;0.001625321;0.001923721;0.002224886;0.002159803;0.001964926;0.001673169;0.001362665
dom;4;0.001087517;0.000908521;0.000810984;0.000767903;0.000756954;0.000785279;0.000879409;0.001085763;0.001346582;0.001518225;0.001607627;0.001679768;0.001759747;0.001692964;0.001610341;0.001523062;0.001485974;0.001534575;0.001703272;0.001975458;0.002101415;0.001936301;0.00165464;0.001338795;0.001087517;0.000908521;0.000810984;0.000767903;0.000756954;0.000785279;0.000879409;0.001099586;0.001312433;0.001479723;0.001566858;0.001637169;0.001715121;0.001650031;0.001569503;0.001484437;0.001448289;0.001495658;0.001660078;0.002000608;0.002128169;0.001960953;0.001675706;0.001338795;0.001087517;0.000908521;0.000810984;0.000767903;0.000756954;0.000785279;0.000879409;0.001069427;0.001276435;0.001439136;0.001523882;0.001592265;0.001668077;0.001604773;0.001526453;0.001443722;0.001408566;0.001454635;0.001614545;0.001945734;0.002069796;0.001907167;0.001629744;0.001338795
dom;5;0.001115742;0.000950054;0.000860624;0.000820085;0.000805773;0.000828535;0.00092515;0.001126985;0.001293257;0.001412702;0.00146477;0.001518771;0.00159455;0.00155942;0.001504355;0.001434598;0.001396254;0.001412481;0.001519931;0.001770211;0.001916235;0.001886632;0.001678179;0.001345485;0.001115742;0.000950054;0.000860624;0.000820085;0.000805773;0.000828535;0.00092515;0.001126985;0.001295492;0.001415143;0.001467302;0.001521397;0.001597306;0.001562115;0.001506955;0.001437078;0.001398667;0.001414923;0.001522558;0.001770211;0.001916235;0.001886632;0.001678179;0.001345485;0.001115742;0.000950054;0.000860624;0.000820085;0.000805773;0.000828535;0.00092515;0.001152706;0.00132506;0.001447442;0.001500791;0.001556121;0.001633762;0.001597768;0.001541349;0.001469876;0.00143059;0.001447216;0.001557309;0.001810614;0.001959969;0.001929692;0.001716481;0.001345485
dom;6;0.001086075;0.00093035;0.000848588;0.00081084;0.000798615;0.00082138;0.000914114;0.001273021;0.001413959;0.001503136;0.00151809;0.001555574;0.001640227;0.001646315;0.001602205;0.001535467;0.001505924;0.001527043;0.001629167;0.001894732;0.002022558;0.002031511;0.00184027;0.001331291;0.001086075;0.00093035;0.000848588;0.00081084;0.000798615;0.00082138;0.000914114;0.001288497;0.001461864;0.001554062;0.001569523;0.001608277;0.001695798;0.001702092;0.001656487;0.001587488;0.001556944;0.001578779;0.001684363;0.001917765;0.002047145;0.002056207;0.001862641;0.001331291;0.001086075;0.00093035;0.000848588;0.00081084;0.000798615;0.00082138;0.000914114;0.001165649;0.001259178;0.001338592;0.00135191;0.00138529;0.001460677;0.001466098;0.001426817;0.001367384;0.001341075;0.001359883;0.001450828;0.001734922;0.001851967;0.001860165;0.001685055;0.001331291
dom;7;0.001140922;0.000992138;0.000907253;0.000860346;0.000834758;0.000837225;0.000888368;0.001143384;0.001280482;0.001348829;0.001367034;0.00141376;0.001527773;0.001609116;0.001604272;0.001549281;0.001522787;0.001533593;0.001606709;0.00176625;0.001890372;0.00191849;0.001767963;0.00136211;0.001140922;0.000992138;0.000907253;0.000860346;0.000834758;0.000837225;0.000888368;0.001143384;0.001265575;0.001333125;0.001351119;0.001397301;0.001509986;0.001590383;0.001585594;0.001531244;0.001505059;0.001515738;0.001588003;0.00176625;0.001890372;0.00191849;0.001767963;0.00136211;0.001140922;0.000992138;0.000907253;0.000860346;0.000834758;0.000837225;0.000888368;0.001014077;0.00112245;0.001182361;0.00119832;0.001239279;0.001339221;0.001410525;0.001406279;0.001358074;0.001334851;0.001344322;0.001408415;0.001566503;0.001676588;0.001701527;0.001568023;0.00136211
dom;8;0.001177126;0.00104294;0.000957085;0.000904023;0.000870393;0.000862368;0.000885264;0.0010707;0.001252601;0.001342139;0.001373932;0.001425718;0.001546283;0.001644008;0.001650566;0.001598081;0.001564032;0.001560218;0.001613093;0.001705101;0.001869049;0.001825398;0.001656261;0.001339285;0.001177126;0.00104294;0.000957085;0.000904023;0.000870393;0.000862368;0.000885264;0.001088404;0.001216487;0.001303445;0.001334321;0.001384614;0.001501703;0.001596611;0.001602979;0.001552008;0.001518941;0.001515237;0.001566587;0.001733293;0.001899952;0.001855579;0.001683646;0.001339285;0.001177126;0.00104294;0.000957085;0.000904023;0.000870393;0.000862368;0.000885264;0.00098369;0.001099452;0.001178043;0.001205948;0.001251402;0.001357226;0.001443004;0.001448759;0.001402691;0.001372806;0.001369458;0.001415868;0.001566536;0.001717161;0.001677057;0.001521665;0.001339285
dom;9;0.001224696;0.001073535;0.000991765;0.00095054;0.000933759;0.000960716;0.001065395;0.001191993;0.001362044;0.001418938;0.001422938;0.001454637;0.001534868;0.001564302;0.001544404;0.001496771;0.001473371;0.001491488;0.001599877;0.001827268;0.001927921;0.001807175;0.001602329;0.001435237;0.001224696;0.001073535;0.000991765;0.00095054;0.000933759;0.000960716;0.001065395;0.001191993;0.001305269;0.001359792;0.001363625;0.001394003;0.001470889;0.001499097;0.001480028;0.00143438;0.001411956;0.001429317;0.001533189;0.001827268;0.001927921;0.001807175;0.001602329;0.001435237;0.001224696;0.001073535;0.000991765;0.00095054;0.000933759;0.000960716;0.001065395;0.001251222;0.001370127;0.00142736;0.001431383;0.00146327;0.001543977;0.001573587;0.00155357;0.001505654;0.001482115;0.001500339;0.001609372;0.001918065;0.002023719;0.001896973;0.001681948;0.001435237
dom;10;0.00103506;0.000882743;0.000805973;0.000773558;0.000771395;0.000824701;0.000996953;0.001175762;0.001519682;0.001559021;0.001542504;0.001561201;0.001626498;0.001625114;0.00159243;0.001540657;0.001526383;0.00163077;0.001894786;0.001842184;0.001816405;0.001677234;0.001443239;0.001295478;0.00103506;0.000882743;0.000805973;0.000773558;0.000771395;0.000824701;0.000996953;0.001175762;0.001262294;0.001294971;0.001281251;0.001296781;0.001351018;0.001349869;0.001322721;0.001279716;0.00126786;0.001354566;0.001573867;0.001842184;0.001816405;0.001677234;0.001443239;0.001295478;0.00103506;0.000882743;0.000805973;0.000773558;0.000771395;0.000824701;0.000996953;0.001259972;0.001352701;0.001387718;0.001373016;0.001389659;0.00144778;0.001446549;0.001417457;0.001371372;0.001358667;0.001451583;0.00168659;0.001974124;0.0019465;0.00179736;0.001546607;0.001295478
