type;month;y_i0;y_i1;y_i2;y_i3;y_i4;y_i5;y_i6;y_i7;y_i8;y_i9;y_i10;y_i11;y_i12;y_i13;y_i14;y_i15;y_i16;y_i17;y_i18;y_i19;y_i20;y_i21;y_i22;y_i23;y_i24;y_i25;y_i26;y_i27;y_i28;y_i29;y_i30;y_i31;y_i32;y_i33;y_i34;y_i35;y_i36;y_i37;y_i38;y_i39;y_i40;y_i41;y_i42;y_i43;y_i44;y_i45;y_i46;y_i47;y_i48;y_i49;y_i50;y_i51;y_i52;y_i53;y_i54;y_i55;y_i56;y_i57;y_i58;y_i59;y_i60;y_i61;y_i62;y_i63;y_i64;y_i65;y_i66;y_i67;y_i68;y_i69;y_i70;y_i71
dom;1;0.002608016;0.002198161;0.001976448;0.001876013;0.001864054;0.002017143;0.002502917;0.004481042;0.004484467;0.004597706;0.004531786;0.004531859;0.004682365;0.004718755;0.004690431;0.004586576;0.004661593;0.005280463;0.005865578;0.006795575;0.006794374;0.006367725;0.005506376;0.003223556;0.002608016;0.002198161;0.001976448;0.001876013;0.001864054;0.002017143;0.002502917;0.004481042;0.004793929;0.004914983;0.004844514;0.004844592;0.005005484;0.005044386;0.005014107;0.004903085;0.004983278;0.005644855;0.006270347;0.006795575;0.006794374;0.006367725;0.005506376;0.003223556;0.002608016;0.002198161;0.001976448;0.001876013;0.001864054;0.002017143;0.002502917;0.003220802;0.003445693;0.003532702;0.003482052;0.003482108;0.003597751;0.003625712;0.003603949;0.00352415;0.00358179;0.004057307;0.004506887;0.0048844;0.004883537;0.004576878;0.003957773;0.003223556
dom;2;0.003421721;0.00287994;0.002591868;0.002467564;0.002462371;0.002686095;0.003363747;0.004818232;0.004391107;0.004452078;0.004349042;0.004345102;0.004496414;0.004520862;0.004475549;0.004335175;0.004303252;0.004723249;0.00560817;0.007280586;0.007254505;0.00675409;0.005818838;0.004255489;0.003421721;0.00287994;0.002591868;0.002467564;0.002462371;0.002686095;0.003363747;0.004818232;0.005132545;0.005203811;0.005083377;0.005078772;0.005255633;0.005284209;0.005231244;0.005067168;0.005029855;0.005520769;0.006555108;0.007280586;0.007254505;0.00675409;0.005818838;0.004255489;0.003421721;0.00287994;0.002591868;0.002467564;0.002462371;0.002686095;0.003363747;0.004323963;0.004606032;0.004669988;0.004561908;0.004557775;0.004716494;0.004742138;0.004694607;0.004547362;0.004513877;0.004954431;0.005882665;0.00653372;0.006510315;0.006061234;0.005221923;0.004255489
dom;3;0.003225432;0.002693506;0.002326464;0.002286927;0.002264532;0.002415503;0.002831527;0.003716809;0.003377538;0.003705703;0.003869538;0.004014912;0.004186269;0.004103105;0.003960488;0.003786166;0.003748669;0.003996105;0.004729768;0.006965751;0.006761988;0.00615186;0.005238418;0.004007837;0.003225432;0.002693506;0.002326464;0.002286927;0.002264532;0.002415503;0.002831527;0.003716809;0.004300934;0.004718817;0.004927444;0.005112563;0.005330767;0.005224867;0.005043259;0.004821278;0.00477353;0.005088613;0.006022855;0.006965751;0.006761988;0.00615186;0.005238418;0.004007837;0.003225432;0.002693506;0.002326464;0.002286927;0.002264532;0.002415503;0.002831527;0.003491652;0.004040393;0.004432961;0.00462895;0.004802854;0.005007841;0.004908356;0.004737749;0.004529215;0.004484359;0.004780356;0.005658003;0.006543781;0.006352361;0.005779194;0.004921086;0.004007837
dom;4;0.002930467;0.002448138;0.00218531;0.002069223;0.002039719;0.002116045;0.002369693;0.003866159;0.003835902;0.004324846;0.00457952;0.004785022;0.005012852;0.004822612;0.004587249;0.004338625;0.004232974;0.004371422;0.004851977;0.00703416;0.007482665;0.006894733;0.0058918;0.003607571;0.002930467;0.002448138;0.00218531;0.002069223;0.002039719;0.002116045;0.002369693;0.00391538;0.004673279;0.00526896;0.00557923;0.005829592;0.006107158;0.005875388;0.005588646;0.005285747;0.005157032;0.005325704;0.005911164;0.007123715;0.007577931;0.006982513;0.005966811;0.003607571;0.002930467;0.002448138;0.00218531;0.002069223;0.002039719;0.002116045;0.002369693;0.002881721;0.003439534;0.003877955;0.004106314;0.004290581;0.004494869;0.004324287;0.004113244;0.003890311;0.003795577;0.003919719;0.004350618;0.005243055;0.005577358;0.00513913;0.004391574;0.003607571
dom;5;0.003114555;0.002652043;0.002402401;0.002289239;0.002249287;0.002312829;0.002582524;0.003775127;0.003822439;0.004175478;0.004329377;0.004488987;0.004712963;0.004609129;0.004446375;0.004240196;0.004126864;0.004174827;0.004492414;0.005929782;0.006418923;0.006319761;0.005621495;0.003755875;0.003114555;0.002652043;0.002402401;0.002289239;0.002249287;0.002312829;0.002582524;0.003775127;0.004339585;0.004740388;0.004915108;0.005096313;0.005350591;0.005232708;0.005047936;0.004813862;0.004685197;0.004739649;0.005100203;0.005929782;0.006418923;0.006319761;0.005621495;0.003755875;0.003114555;0.002652043;0.002402401;0.002289239;0.002249287;0.002312829;0.002582524;0.003217741;0.003698858;0.004040483;0.004189407;0.004343857;0.004560592;0.004460115;0.004302623;0.004103109;0.003993441;0.004039854;0.004347174;0.005054267;0.005471188;0.005386667;0.004791498;0.003755875
dom;6;0.003195095;0.00273697;0.002496436;0.002385388;0.002349424;0.002416395;0.002689208;0.004244409;0.003928594;0.004176365;0.004217915;0.004322061;0.004557264;0.004574179;0.004451621;0.004266195;0.00418411;0.00424279;0.004526535;0.006317267;0.006743454;0.006773306;0.006135686;0.003916489;0.003195095;0.00273697;0.002496436;0.002385388;0.002349424;0.002416395;0.002689208;0.004296005;0.004874032;0.005181431;0.005232981;0.00536219;0.005653996;0.005674982;0.005522929;0.005292879;0.005191041;0.005263842;0.005615871;0.006394061;0.006825429;0.006855644;0.006210273;0.003916489;0.003195095;0.00273697;0.002496436;0.002385388;0.002349424;0.002416395;0.002689208;0.003429192;0.00370434;0.003937968;0.003977147;0.004075348;0.004297125;0.004313074;0.004197512;0.00402267;0.003945272;0.004000602;0.00426815;0.005103919;0.005448249;0.005472367;0.004957215;0.003916489
dom;7;0.003457338;0.003006481;0.002749252;0.002607109;0.00252957;0.002537047;0.002692024;0.003688334;0.003556895;0.003746747;0.003797317;0.003927112;0.004243814;0.004469767;0.004456311;0.004303559;0.004229966;0.00425998;0.00446308;0.005697579;0.006097972;0.00618868;0.005703106;0.004127606;0.003457338;0.003006481;0.002749252;0.002607109;0.00252957;0.002537047;0.002692024;0.003688334;0.004082498;0.004300405;0.004358448;0.004507423;0.004870924;0.005130266;0.005114821;0.004939497;0.004855029;0.004889479;0.00512259;0.005697579;0.006097972;0.00618868;0.005703106;0.004127606;0.003457338;0.003006481;0.002749252;0.002607109;0.00252957;0.002537047;0.002692024;0.003072962;0.003401363;0.003582913;0.003631272;0.003755392;0.004058245;0.004274318;0.00426145;0.004115377;0.004045003;0.004073704;0.004267923;0.004746979;0.005080569;0.005156143;0.004751584;0.004127606
dom;8;0.003087481;0.002735527;0.002510339;0.00237116;0.002282953;0.002261903;0.002321956;0.003952477;0.003567053;0.003822035;0.003912571;0.004060042;0.004403377;0.004681673;0.004700345;0.004550884;0.004453923;0.004443062;0.004593634;0.006294358;0.00689957;0.006738433;0.006114065;0.003512809;0.003087481;0.002735527;0.002510339;0.00237116;0.002282953;0.002261903;0.002321956;0.004017828;0.004490647;0.00481165;0.004925628;0.005111283;0.005543515;0.005893868;0.005917375;0.005729215;0.005607149;0.005593475;0.005783034;0.006398429;0.007013647;0.006849847;0.006215155;0.003512809;0.003087481;0.002735527;0.002510339;0.00237116;0.002282953;0.002261903;0.002321956;0.002580119;0.002883749;0.003089887;0.003163079;0.003282301;0.003559867;0.003784852;0.003799948;0.003679117;0.00360073;0.003591949;0.003713678;0.004108865;0.004503938;0.004398751;0.003991172;0.003512809
dom;9;0.003401932;0.002982041;0.002754904;0.002640389;0.002593777;0.002668654;0.002959431;0.004257116;0.003783455;0.003941495;0.003952605;0.004040658;0.004263521;0.004345284;0.004290011;0.004157697;0.004092697;0.004143021;0.004444103;0.006525957;0.006885432;0.006454197;0.005722603;0.003986768;0.003401932;0.002982041;0.002754904;0.002640389;0.002593777;0.002668654;0.002959431;0.004257116;0.004661676;0.0048564;0.004870089;0.004978581;0.005253175;0.005353918;0.005285815;0.005122787;0.005042699;0.005104705;0.005475674;0.006525957;0.006885432;0.006454197;0.005722603;0.003986768;0.003401932;0.002982041;0.002754904;0.002640389;0.002593777;0.002668654;0.002959431;0.003475617;0.00380591;0.003964888;0.003976064;0.004064639;0.004288825;0.004371074;0.004315473;0.004182373;0.004116987;0.00416761;0.004470479;0.005327957;0.005621441;0.005269369;0.004672077;0.003986768
dom;10;0.002957315;0.002522123;0.00230278;0.002210167;0.002203985;0.002356289;0.002848438;0.004199148;0.004107248;0.004213571;0.004168931;0.004219463;0.00439594;0.004392201;0.004303866;0.004163937;0.00412536;0.004407485;0.005121045;0.006579228;0.006487162;0.005990121;0.005154427;0.003701367;0.002957315;0.002522123;0.00230278;0.002210167;0.002203985;0.002356289;0.002848438;0.004199148;0.004508192;0.004624894;0.004575896;0.004631361;0.004825065;0.004820961;0.004724003;0.004570415;0.004528072;0.004837737;0.005620953;0.006579228;0.006487162;0.005990121;0.005154427;0.003701367;0.002957315;0.002522123;0.00230278;0.002210167;0.002203985;0.002356289;0.002848438;0.003599918;0.003864861;0.003964909;0.003922903;0.003970453;0.004136515;0.004132997;0.004049875;0.003918204;0.003881904;0.004147379;0.004818828;0.005640355;0.005561427;0.005135314;0.004418876;0.003701367
